latitude,longitude,lat_bin,lon_bin,cell_id
20.8248849524242,-98.49951687500311,55,40,55040
-3.45175151994192,-54.5639366944262,43,62,43062
-23.4964637072495,-47.460541928773,33,66,33066
-16.5486776821599,-72.8527775777893,36,53,36053
-35.0108695682279,140.064397228124,27,160,27160
-14.2236670924255,-43.7537035508934,37,68,37068
38.0634966204741,32.5979498107259,64,106,64106
-22.8132295398334,22.0351541170296,33,101,33101
-11.7173796143042,-57.0523086280092,39,61,39061
-27.078606591832,146.719205725938,31,163,31163
46.719054657933505,9.45971788764241,68,94,68094
16.2263943980411,-14.0740677720299,53,82,53082
16.5252514,79.2460586,53,129,53129
-25.5108625184167,-63.008730038517,32,58,32058
26.3334841234479,-102.659805714602,58,38,58038
2.25323433780925,99.64904229444541,46,139,46139
55.6049395166094,124.918625249719,72,152,72152
-28.6439562457581,134.353793656724,30,157,30157
0.000271324835485,40.3844865637608,45,110,45110
-10.7813994788974,-38.3572340046386,39,70,39070
44.0848793192248,111.188443121767,67,145,67145
-24.0933821941318,-50.3538382216138,32,64,32064
-39.718684962043696,-70.5728128056816,25,54,25054
54.434639778360705,36.360918374812094,72,108,72108
-7.11990529490924,111.560472547128,41,145,41145
-14.9404515645281,143.554158900005,37,161,37161
46.9643159314459,91.4517000155672,68,135,68135
41.8426581232995,33.7320402191934,65,106,65106
-32.3656231126882,-66.93578980593111,28,56,28056
-33.0749917723431,-64.7252775072923,28,57,28057
46.466907788445106,19.6102716138935,68,99,68099
-8.70974902062882,-69.5579502080807,40,55,40055
-33.9148488096848,-57.762511569757,28,61,28061
37.410527928940894,40.8476871334935,63,110,63110
1.21582740697652,34.734111793621,45,107,45107
-28.3040006820014,24.5541366152796,30,102,30102
12.2098626627713,105.313764187757,51,142,51142
-32.3109366764213,125.156239462671,28,152,28152
50.0741276665621,18.8225930819204,70,99,70099
-31.8800304595736,141.791938216418,29,160,29160
42.297219589617,24.923790858032,66,102,66102
-37.788170061743905,144.214240643877,26,162,26162
-18.1015108003224,135.663637614732,35,157,35157
8.87252861164923,11.4177778433981,49,95,49095
0.614244890422413,39.2357817790384,45,109,45109
-47.6670838613972,-67.9961251565902,21,56,21056
51.2139906895372,34.1192187183625,70,107,70107
-25.8692609804576,143.389719313558,32,161,32161
65.7809723103403,45.0325673898265,77,112,77112
-21.9705991295532,133.485963798969,34,156,34156
-0.9080529278841,-60.5168680692468,44,59,44059
-33.7451301346343,24.636393566896,28,102,28102
-18.2221656453747,142.809174421679,35,161,35161
-11.5580473480194,-51.0283586671452,39,64,39064
-36.4955065753222,-60.7978605574783,26,59,26059
-10.0575347934706,-67.9638121240417,39,56,39056
-38.3448290515165,-68.5347923916013,25,55,25055
-34.6990651281639,150.686922503896,27,165,27165
47.4430215258415,109.71393366084,68,144,68144
-0.6317656,114.5728442,44,147,44147
61.3152607384798,13.1781954333168,75,96,75096
-24.9408641112214,-51.87221319988289,32,64,32064
-13.3204632683317,-46.5715053907102,38,66,38066
45.2848693834858,19.1348154548089,67,99,67099
7.0083177475898,-1.13548735601492,48,89,48089
53.9477935452362,-7.36833932073545,71,86,71086
-31.5655147747467,23.26475000882,29,101,29101
62.2678727555648,71.5740811045092,76,125,76125
52.7673823953989,15.7048991263248,71,97,71097
-10.1376962931363,-38.2961902453458,39,70,39070
19.1670374097385,-90.2226679445143,54,44,54044
-17.2861356822892,-47.7238444298832,36,66,36066
45.70617390876951,113.687553403689,67,146,67146
74.11044158150301,-57.0410147829464,82,61,82061
-28.9210223688056,-56.0991908934472,30,61,30061
54.1277246435334,50.3818042515106,72,115,72115
-33.2675706761672,-66.0503546910329,28,56,28056
61.489713568155906,152.213057955812,75,166,75166
52.873087038035905,18.6380921741921,71,99,71099
-38.9349039206069,-63.620993363745,25,58,25058
-32.067104724574,122.432905697466,28,151,28151
-16.7103883031566,-40.8958626670538,36,69,36069
45.4417605261939,27.0963779414056,67,103,67103
-37.27810852212009,-60.850063817981905,26,59,26059
-29.3460699822235,145.862410343656,30,162,30162
6.45477966796358,-74.0255171739399,48,52,48052
-5.48119858748685,-36.91136417375711,42,71,42071
15.6714864757585,80.2153046613254,52,130,52130
-27.9551963640087,119.457999101322,31,149,31149
-28.7841621428688,-49.9823408134981,30,65,30065
-1.10947749113805,-60.4589849640308,44,59,44059
-5.59294487808293,-45.1525846451234,42,67,42067
-51.0102984633714,-71.17686020347871,19,54,19054
62.1072296387674,117.636256556364,76,148,76148
51.286531496914094,19.4907837763369,70,99,70099
9.17636331292987,0.018828959337012,49,90,49090
58.754473703254895,68.948441789032,74,124,74124
-22.7737231184591,29.3557129490519,33,104,33104
-9.93906373487213,-57.1301068991612,40,61,40061
46.1753447189062,100.729392571109,68,140,68140
12.7352198097011,104.993920825451,51,142,51142
52.498000486287296,43.1735465061394,71,111,71111
53.842311037399504,20.1475576994489,71,100,71100
-31.9921234823765,145.975465237944,29,162,29162
61.2931237816268,48.9690398145474,75,114,75114
47.5246272082104,118.951871377202,68,149,68149
11.1629926718605,105.952342386312,50,142,50142
-28.0281861704627,118.539896064707,30,149,30149
46.13844488053991,113.381438755665,68,146,68146
48.645888695854495,89.9734666929229,69,134,69134
-13.4381889061875,-43.1644629917198,38,68,38068
37.35560141258689,35.5575916956175,63,107,63107
0.390192842842893,36.29981722520311,45,108,45108
-2.9665875522295,-47.64174818157031,43,66,43066
-8.15907875748471,-63.7923590844798,40,58,40058
-23.4422482534726,22.5563729740307,33,101,33101
-22.5678541759341,144.452941220028,33,162,33162
40.1149740706897,27.9038088263624,65,103,65103
-8.14145155741913,-70.7659572895827,40,54,40054
63.3603503150338,46.536198058214,76,113,76113
8.5512041981163,7.71616778694453,49,93,49093
55.504677631857106,157.633891670723,72,168,72168
-27.3471584798988,148.896112193694,31,164,31164
-32.4232205894693,148.95273023188,28,164,28164
62.5722485252324,12.5736534490735,76,96,76096
14.2957658538255,-16.036978715679,52,81,52081
-6.77064423841112,-51.0333408245981,41,64,41064
-24.9791246223231,-60.1809635040094,32,59,32059
26.3126170207558,-104.546744921676,58,37,58037
-20.1670231203202,25.4031021576491,34,102,34102
37.7674567595862,39.4290200029332,63,109,63109
53.275533557742705,108.836210702701,71,144,71144
-23.4964637072495,-47.460541928773,33,66,33066
49.3526440585053,30.5669859979578,69,105,69105
1.72901199304062,-50.87874193820151,45,64,45064
0.045833763919647,37.2110610428343,45,108,45108
-50.562538294841296,-69.3296515318506,19,55,19055
-33.3579105892312,142.572770721045,28,161,28161
-21.7935367051558,-54.6344174290039,34,62,34062
-16.1948447120801,-48.073963571145505,36,65,36065
56.124512768424,22.5213534998947,73,101,73101
-19.6231698677131,-50.0924523818824,35,64,35064
14.3585280109937,76.1981562325081,52,128,52128
36.8858734271898,-3.02076648086575,63,88,63088
57.722723125206706,66.23323954083,73,123,73123
48.4205451697399,22.2890540717467,69,101,69101
